id,term,location,jobposition,department,agency,dateposted,link
20523,Seasonal,"Huntsville, Alabama",Robotics Counselor,Space Camp,U.S. Space & Rocket Center Foundation,04-04-2015,https://spacecampfoundation.applicantstack.com/x/apply/a2i2304pvz8p
19248,Full-time,"Hawthorne, CA",Buyer,Corporate Operations - Accounting and Finance,SpaceX,04-02-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=ohnM0fwa&nl=0
326,Full-time,"Hawthorne, CA",Production Engineer - Machining,Manufacturing and Production - Engineering,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=ovQfZfwj&nl=0
327,Full-time,"Hawthorne, CA",Production Engineer (Merlin Sub-Assemblies – 1st Shift),Manufacturing and Production - Engineering,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oUcFZfwu&nl=0
8648,Full-Time,"Littleton, CO",Computer Systems Analyst,Information Technology,Lockheed Martin,03-20-2015,http://www.applytracking.com/track.aspx/1Eh8a
328,Full-time,"Hawthorne, CA",Mechanical Engineer,Manufacturing and Production - Engineering,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oDHh0fwl&nl=0
2079,Seasonal,"Huntsville, Alabama",Space Camp Counselor,Space Camp,U.S. Space & Rocket Center Foundation,03-12-2015,https://spacecampfoundation.applicantstack.com/x/apply/a2i2304inhim
7086,Full-time,"Renton, WA",Electrical Engineer  - Arc Flash,Electrical Engineering,Lockheed Martin,03-18-2015,http://www.applytracking.com/track.aspx/12KtA
365,Full-time,"Cape Canaveral, FL",Toolmaker,Launch and Test - Engineering Design and Development,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oF7s0fwY&nl=0
2078,Part Time,"Huntsville, Alabama",Registered Nurse,Global Space Camp Operations,U.S. Space & Rocket Center Foundation,03-12-2015,https://spacecampfoundation.applicantstack.com/x/apply/a2i2304bszlx
